submission_id,number_of_nodes,max_depth,avg_depth,median_depth,percent_deeper_3,percent_deeper_5,percent_deeper_7,avg_branching,max_branching,shape_imbalance
daglhs,4028,23,3.023336643495531,1.0,30.685203574975173,18.123138033763656,9.210526315789474,2.1623831775700935,97,0.19961486978355034
wp874j,1750,18,2.5325714285714285,1.0,24.285714285714285,12.17142857142857,5.257142857142857,2.1572700296735907,25,0.21009176304894206
1087lb,7628,15,2.0673833245936026,1.0,16.41321447299423,8.127949659150499,3.959098059779759,2.4239130434782608,113,0.1411598944381735
vnl1hw,4495,25,2.457174638487208,1.0,22.580645161290324,12.903225806451612,6.295884315906563,2.1497395833333335,88,0.17066686759525787
f3asns,2651,12,1.7540550735571483,1.0,11.769143719351188,5.394190871369295,2.225575254620898,1.7376623376623377,16,0.13535839349134365
hd12gs,1719,14,2.43979057591623,1.0,22.862129144851657,11.57649796393252,4.886561954624782,2.1037463976945245,60,0.19758933141119406
xuu5zc,2048,15,2.07666015625,1.0,17.041015625,8.30078125,3.02734375,2.2857142857142856,77,0.16448508222230127
wg3euz,3533,21,2.3744692895556185,1.0,19.41692612510614,10.019813189923578,4.5004245683555055,2.4551495016611296,110,0.17232750977912523
cs0bfh,4548,41,3.3515831134564644,1.0,31.442392260334213,19.525065963060687,11.631486367634125,1.6099290780141844,96,0.19584602401214313
ipw5v4,1850,14,3.2227027027027026,1.0,35.83783783783784,21.945945945945947,12.91891891891892,2.2416452442159382,103,0.25183814356817397
lqk99w,1331,9,1.6243425995492111,1.0,8.940646130728775,4.432757325319309,1.2021036814425243,2.401639344262295,73,0.14173682105216445
xicqfv,5384,17,2.0759658246656763,1.0,15.044576523031203,8.190936106983655,3.510401188707281,2.4626436781609193,106,0.14591801482637007
hwcqu8,2212,18,3.0610307414104883,1.0,30.334538878842675,18.580470162748643,10.804701627486438,1.9201451905626135,31,0.2257142340017252
13os3i,3685,16,2.7169606512890097,1.0,28.005427408412483,15.169606512890095,6.295793758480325,2.4831804281345566,104,0.19701926012818455
dtg4jw,4253,30,3.191629438043734,1.0,33.48224782506466,19.209969433341172,9.381612979073594,1.973384030418251,90,0.2047485352913934
wcnh0v,3704,21,2.5693844492440605,1.0,23.785097192224622,13.660907127429805,6.533477321814255,2.155688622754491,71,0.17309788185196967
ot3iy2,3033,17,1.9574678536102867,1.0,14.63897131552918,6.824925816023739,2.7695351137487636,2.8006134969325154,108,0.14708138633817952
cb6xz4,6472,34,3.0931705809641534,1.0,28.84734239802225,17.92336217552534,9.996909765142151,1.8545902649414665,88,0.17700305581266182
tuydop,2425,21,1.988041237113402,1.0,12.45360824742268,5.690721649484536,3.463917525773196,2.1242603550295858,81,0.14473077442808602
11374y,5001,20,3.4483103379324134,2.0,35.792841431713654,24.195160967806437,13.097380523895222,2.5395395395395397,109,0.24529756280826023
